id,name,name:ru,name:uk,uwagi
node/31896315,Daleszyce,Далешице,Далешице,
node/31347434,Darłowo,Дарлово,Дарлово,
node/31895072,Dębica,Дембица,Дембиця,
node/1854936845,Dęblin,Демблин,Демблін,
node/393952241,Dębno,Дембно,Дембно,
node/31591564,Debrzno,Дебжно,Дебжно,
node/508068396,Dobczyce,Добчице,Добчице,
node/257422860,Dobiegniew,Добегнев,Добегнев,
node/529115993,Dobra,Добра,Добра,
node/1758659807,Dobra,Добра,Добра,
node/31525100,Dobre Miasto,Добре Място,Добре Місто,
node/570758201,Dobrodzień,Добродзень,Добродзень,
node/1758659854,Dobrzany,Добжаны,Добжани,
node/692632647,Dobrzyca,Добжица,Добжица,
node/1867069606,Dobrzyń nad Wisłą,Добжинь на реке Висла,Добжинь на річці Вісла,
node/268225193,Dolsk,Дольск,Дольск,
node/31591344,Drawno,Дравно,Дравно,
node/1758659809,Drawsko Pomorskie,Дравско-Поморске,Дравско Поморске,
node/477361544,Drezdenko,Дрезденко,Дрезденко,
node/500751187,Drobin,Дробин,Дробін,
node/1855026515,Drohiczyn,Дрохичин,Дрохічин,
node/105491400,Drzewica,Джевица,Джевиця,
node/692614019,Dubiecko,Дубецко,Дубецко,
node/40641710,Dukla,Дукля,Дукля,
node/349987517,Duszniki-Zdrój,Душники-Здруй,Душники Здруй,
node/506203648,Dynów,Дынув,Динув,
node/31577347,Działdowo,Дзялдово,Дзялдово,
node/31895302,Działoszyce,Дзялошице,Дзялошице,
node/31806052,Działoszyn,Дзялошин,Дзялошин,
node/31532261,Dzierzgoń,Дзежгонь,Дзежгонь,
node/295814305,Dzierżoniów,Дзержонюв,Дзержонюв,
node/255755745,Dziwnów,Дзивнув,Дзивнув,
node/31532258,Elbląg,Эльблонг,Ельблонг,
node/253553350,Ełk,Элк,Елк,
node/1854936850,Frampol,Фрамполь,Фрамполь,
node/31532247,Frombork,Фромборк,Фромборк,
node/31709942,Gąbin,Гомбин,Гомбин,
node/1855026517,Garwolin,Гарволин,Гарволін,
node/26432122,Gdańsk,Гданьск,Гданськ,
node/26432430,Gdynia,Гдыня,Гдиня,
node/31524789,Giżycko,Гижицко,Гіжицько,
node/1854936856,Glinojeck,Глиноецк,Гліноєцьк,
node/28900665,Gliwice,Гливице,Глівіце,
node/1758659813,Głogów,Глогув,Ґлоґув,
node/31894993,Głogów Małopolski,Глогув-Малопольский,Глогув-Малопольський,
node/568060456,Głogówek,Глогувек,Глогувек,
node/31880924,Głowno,Гловно,Гловно,
node/560469083,Głubczyce,Глубчице,Ґлубчице,
node/567145434,Głuchołazy,Глухолазы,Глухолази,
node/1770680193,Głuszyca,Глушица,Глушица,
node/31532215,Gniew,Гнев,Гнев,
node/598903372,Gniewkowo,Гневково,Гневково,
node/158801054,Gniezno,Гнезно,Гнезно,
node/560719867,Gogolin,Гоголин,Гоголін,
node/264534777,Gołańcz,Голаньч,Голаньч,
node/1758659853,Golczewo,Гольчево,Гольчево,
node/31524739,Gołdap,Голдап,Голдап,
node/1758659834,Goleniów,Голенюв,Голенюв,
node/31623989,Golina,Голина,Голіна,
node/31590395,Golub-Dobrzyń,Голюб-Добжинь,Голюб Добжинь,
node/31577128,Goniądz,Гонёндз,Гоньондз,
node/369598568,Góra,Гура,Ґура,
node/31876827,Góra Kalwaria,Гура-Кальвария,Ґура-Кальварія,
node/1859446993,Goraj,Горай,Ґорай,
node/1763537486,Gorlice,Горлице,Ґорліце,
node/31524682,Górowo Iławeckie,Гурово-Илавецке,Ґурово Ілавецьке,
node/31590318,Górzno,Гужно,Ґужно,
node/31803574,Gorzów Śląski,Гожув-Слёнский,Ґожув Шльонский,
node/357913636,Gorzów Wielkopolski,Гожув-Велькопольски,Ґожув-Велькопольський,
node/1758659852,Gościno,Госцино,Ґосьцино,
node/274790087,Gostyń,Гостынь,Ґостинь,
node/31709532,Gostynin,Гостынин,Ґостинін,
node/31803356,Gozdnica,Гоздница,Ґоздніца,
node/31803186,Grabów nad Prosną,Грабув-над-Просной,Ґрабув на річці Просні,
node/349239193,Grajewo,Граево,Ґраєво,
node/431023768,Grodków,Гродкув,Ґродкув,
node/31698397,Grodzisk Mazowiecki,Гродзиск-Мазовецкий,Ґродзіск Мазовецький,
node/31623501,Grodzisk Wielkopolski,Гродзиск-Велькопольский,Ґродзіск Велькопольський,
node/1854936860,Grójec,Груец,Ґруєць,
node/1697586141,Grudziądz,Грудзёндз,Ґрудзьондз,
node/692609203,Grybów,Грыбув,Грибів,
node/1758659838,Gryfice,Грыфице,Ґрифіце,
node/31590108,Gryfino,Грыфино,Ґрифіно,
node/1770680179,Gryfów Śląski,Грыфув-Слёнский,Ґрифув  Шльонский,
node/31802728,Gubin,Губин,Ґубін,
node/246690942,Hajnówka,Хайнувка,Хайнувка,
node/457485723,Halinów,Халинув,Халінув,
node/524124149,Hel,Хел,Хел,
node/31158635,Hrubieszów,Грубешов,Грубешів,
node/31589970,Iława,Илава,Ілава,
node/31802423,Iłowa,Илова,Ілова,
node/31876427,Iłża,Илжа,Ілжа,
node/31902084,Imielin,Имелин,Імелін,
node/229987043,Inowrocław,Иновроцлав,Іновроцлав,
node/1758659864,Ińsko,Иньско,Іньско,
node/31894302,Iwaniska,Іваниска,Іваніска,
node/635561654,Iwonicz-Zdrój,Ивоныч Здруй,Івонич Здруй,
node/1850625500,Izbica,Избица,Ізбица,
node/31623062,Izbica Kujawska,Избица-Куявска,Ізбиця Куявська,
node/1854936864,Jabłonowo Pomorskie,Яблоново Поморське,Яблоново Поморське,
node/692624480,Janikowo,Яниково,Яніково,
node/371949690,Janów Lubelski,Янув Любельский,Янув Любельський,
node/692612044,Janowiec Wielkopolski,Яновець Велькопольский,Яновець  Велькопольський,
node/31801786,Jaraczewo,Ярачево,Ярачево,
node/2904651941,Jarocin,Яроцын,Яроцин,
node/96021504,Jarosław,Ярослав,Ярослав,
node/274497581,Jasień,Ясень,Ясень,
node/1763537494,Jasło,Ясло,Ясло,
node/30981159,Jastarnia,Ястарня,Ястарня,
node/31589689,Jastrowie,Ястрове,Ястрове,
node/2154460153,Jastrzębie-Zdrój,Ястшембе-Здруй,Ястшембе-Здруй,
node/31801635,Jawor,Явор,Явор,
node/31901916,Jaworzno,Явожно,Явожно,
node/282370077,Jaworzyna Śląska,Явожина-Слёнска,Явожина Шльонська,
node/634167458,Jedlicze,Едличе,Єдліче,
node/1770680173,Jedlina-Zdrój,Едлина-Здруй,Єдліна Здруй,
node/368033804,Jedlnia-Letnisko,Едльня-Летниско,Єдльня Летніско,
node/31894002,Jędrzejów,Енджеув,Єнджеюв,
node/31576562,Jedwabne,Едвабне,Єдвабне,
node/31801528,Jelcz-Laskowice,Елч Ласковице,Єлч Ласковіце,
node/246693057,Jelenia Góra,Еленя-Гура,Єленя-Ґура,
node/31524183,Jeziorany,Езёраны,Єзьорани,
node/507043957,Jordanów,Йорданув,Йорданув,
node/31697213,Józefów,Юзефув,Юзефув,
node/1854936895,Józefów,Юзефув,Юзефув,
node/1863582667,Józefów nad Wisłą,Юзефув на реке Висла,Юзефув на річці Вісла,
node/31801144,Jutrosin,Ютросин,Ютросин,
node/31589386,Kaczory,Качоры,Качори,
node/498468557,Kalety,Калеты,Калети,
node/1697928657,Kalisz,Калишь,Каліш,
node/1758659855,Kalisz Pomorski,Калиш-Поморский,Каліш Поморський,
node/1854936901,Kałuszyn,Калушин,Калушин,
node/262894019,Kalwaria Zebrzydowska,Кальваря-Зебжидовская,Кальварія-Зебжидовська,
node/31589327,Kamień Krajeński,Камень-Краеньский,Камінь Краєньський,
node/27272766,Kamień Pomorski,Камень-Поморский,Камінь-Поморський,
node/1770680182,Kamieniec Ząbkowicki,Зомбковице-Слёнске,Зомбковіце-Шльонський,
node/370165392,Kamienna Góra,Каменна-Гура,Камінна Ґура,
node/31880716,Kamieńsk,Каменьск,Каменьск,
node/362656279,Kamionka,Камйонка,Камйонка,
node/514049775,Kańczuga,Канвчуга,Каньвчуга,
node/31696813,Karczew,Карчев,Карчев,
node/31622004,Kargowa,Каргова,Каргова,
node/1758659858,Karlino,Карлино,Карліно,
node/385563068,Karpacz,Карпач,Карпач,
node/24981918,Kartuzy,Картузы,Картузи,
node/31901874,Katowice,Катовице,Катовіце,
node/1770680184,Kąty Wrocławskie,Конты-Вроцлавске,Конти Вроцлавські,
node/31875542,Kazimierz Dolny,Казимеж-Дольны,Казімеж Дольний,
node/31893519,Kazimierza Wielka,Казимежа-Велька,Казімежа Велька,
node/600044435,Kcynia,Кцыня,Кциня,
node/253549223,Kędzierzyn-Koźle,Кендзежин-Козле,Кендзежин-Козьле,
node/31346981,Kępice,Кемпице,Кемпіце,
node/31795168,Kępno,Кемпно,Кемпно,
node/31523898,Kętrzyn,Кентшин,Кентшин,
node/271748535,Kęty,Кенты,Кенти,
node/2110720553,Kielce,Кельце,Кельце,
node/535404940,Kietrz,Кетш,Кетш,
node/31588983,Kisielice,Киселице,Кіселице,
node/563338229,Kłecko,Клецко,Клецко,
node/31621695,Kleczew,Клечев,Клечев,
node/464006425,Kleszczele,Клещеле,Клещеле,
node/31893353,Klimontów,Климонтув,Клімонтув,
node/3423852078,Kłobuck,Клобуцк,Клобуцьк,
node/1524210025,Kłodawa,Клодава,Клодава,
node/299292990,Kłodzko,Клодзко,Клодзко,
node/56022628,Kluczbork,Ключборк,Ключборк,
node/261839053,Knurów,Кнурув,Кнурув,
node/31576295,Knyszyn,Кнышин,Книшин,
node/638344968,Kobylin,Кобылин,Кобилін,
node/348945975,Kobyłka,Кобылка,Кобилка,
node/8900695828,Kock,Коцк,Коцк,
node/602499181,Kołaczyce,Колачице,Колачице,
node/31893273,Kolbuszowa,Кольбушова,Кольбушова,
node/31576064,Kolno,Кольно,Кольно,
node/529542296,Koło,Коло,Коло,
node/1523247400,Kołobrzeg,Колобжег,Колобжег,
node/596447807,Kolonowskie,Колёновске,Кольоновське,
node/31880566,Koluszki,Колушки,Колушкі,
node/31901742,Koniecpol,Конецполь,Конецполь,
node/253530808,Konin,Конин,Конін,
node/31874770,Końskie,Коньске,Конське,
node/31695669,Konstancin-Jeziorna,Констанцин-Езёрна (город),Констанцин Єзьорна,
node/31880561,Konstantynów Łódzki,Константынув-Лодзинский,Константинув Лодзиньський,
node/31892813,Koprzywnica,Копшивница,Копшивніца,
node/597656543,Korfantów,Корфантув,Корфантув,
node/31620966,Kórnik,Курник,Курнік,
node/31588523,Koronowo,Короново,Короново,
node/31523544,Korsze,Корше,Корше,
node/31620899,Kościan,Косьцян,Косьцян,
node/24974807,Kościerzyna,Косцежина,Косьцежина,
node/479425679,Kosów Lacki,Косув-Ляцки,Косув Ляцкий,
node/31620845,Kostrzyn,Костшин,Костшин,
node/293127233,Kostrzyn nad Odrą,Костшин-над-Одрой,Костшин на Одері,
node/31346920,Koszalin,Кошалин,Кошалін,
node/1894337188,Koszyce,Кошице,Кошице,
node/598897307,Kowal,Коваль,Коваль,
node/31588404,Kowalewo Pomorskie,Ковалево-Поморске,Ковалево Поморське,
node/418569492,Kowary,Ковары,Ковари,
node/528078976,Koziegłowy,Козегловы,Козеґлови (Сілезьке воєводство),
node/2066176707,Kozienice,Козенице,Козеніце,
node/560519383,Koźmin Wielkopolski,Козьмин Велькопольский,Козьмін Велькопольський,
node/1854936912,Koźminek,Козьминек,Козьмінек,
node/1758659811,Kożuchów,Кожухув,Кожухув,
node/31588276,Krajenka,Краенка,Краєнка,
node/1838666975,Kraków,Краков,Краків,
node/560719866,Krapkowice,Крапковице,Крапковіце,
node/371949273,Kraśnik,Красник,Краснік,
node/31892394,Krasnobród,Краснобруд,Краснобруд,
node/197471072,Krasnystaw,Красныстав,Красностав,
node/692632481,Krobia,Кробья,Кроб'я,
node/676109817,Krośniewice,Кросьневице,Кросьневіце,
node/1763537504,Krosno,Кросно,Кросно,
node/26433204,Krosno Odrzańskie,Кросно-Оджаньске,Кросно-Оджанське,
node/31797403,Krotoszyn,Кротошин,Кротошин,
node/527840822,Kruszwica,Крушвица,Крушвіца,
node/31531709,Krynica Morska,Крыница-Морска,Криніца Морска,
node/288825557,Krynica-Zdrój,Крыница-Здруй,Криниця-Здруй,
node/31575223,Krynki,Крынки,Кринкі,
node/562814647,Krzanowice,Кшановице,Кшановіце,
node/596213829,Krzepice,Кшепице,Кшепіце,
node/31901651,Krzeszowice,Кшешовице,Кшешовіце,
node/472379523,Krzywiń,Кшивинь,Кшивінь,
node/260874121,Krzyż Wielkopolski,Кшиж-Велькопольский,Кшиж Велькопольський,
node/31620215,Książ Wielkopolski,Ксёнж-Велькопольский,Ксьонж Велькопольский,
node/346150662,Kudowa-Zdrój,Кудова-Здруй,Кудова Здруй,
node/31891739,Kunów,Кунув,Кунув,
node/253556355,Kutno,Кутно,Кутно,
node/500840374,Kuźnia Raciborska,Кузня-Рациборская,Кузня-Рациборська,
node/31531689,Kwidzyn,Квидзын,Квідзин,
node/310474340,Łabiszyn,Лабишин,Лабішин,
node/299177114,Lądek-Zdrój,Лёндек-Здруй,Льондек-Здруй,
node/418648597,Łagów,Лагув,Лаґув,
node/31891667,Łańcut,Ланьцут,Ланьцут,
node/599268599,Łapy,Лапы,Лапи,
node/31587581,Łasin,Ласин,Ласін,
node/31880367,Łask,Ласк,Ласк,
node/1854937259,Łaskarzew,Ласкажев,Ласкажев,
node/31891620,Łaszczów,Лащув,Лащув,
node/692604464,Łaziska Górne,Лазиска-Гурне,Лазиська Ґурне,
node/1854937260,Łazy,Лазы (Польша),Лази (місто),
node/30981926,Łeba,Леба,Леба,
node/31531662,Lębork,Лемборк,Лемборк,
node/1841117363,Łęczna,Ленчна,Ленчна,
node/248078775,Łęczyca,Ленчица,Ленчица,
node/244025165,Lędziny,Лендзины,Лендзіни,
node/31694025,Legionowo,Легионово,Леґьоново,
node/3952721523,Legnica,Легница,Легниця,
node/314672220,Łęknica,Ленкница,Ленкніца,
node/39393534,Lesko,Леско,Леско,
node/3009721354,Leśna,Лесьна,Лешна,
node/663676762,Leśnica,Лесница (город),Лесьниця (Опольське воєводство),
node/155462541,Leszno,Лешно,Лешно,
node/299491786,Lewin Brzeski,Левин-Бжеский,Левін Бжеський,
node/31891329,Leżajsk,Лежайск,Лежайськ,
node/31901490,Libiąż,Либёнж,Лібйонж,
node/692602646,Lidzbark,Лидзбарк,Лідзбарк,
node/31522931,Lidzbark Warmiński,Лидзбарк-Варминьски,Лідзбарк Вармінський,
node/227609975,Limanowa,Лиманова,Ліманова,
node/1758659859,Lipiany,Липяны,Ліпяни,
node/466224392,Lipno,Липно,Ліпно,
node/1854936941,Lipsk,Липск,Ліпск,
node/31873964,Lipsko,Липско,Ліпсько,
node/31587119,Łobez,Лобез,Лобез,
node/31587113,Łobżenica,Лобженица,Лобженіца,
node/692617141,Łochów,Лохув,Лохув,
node/30094969,Łódź,Лодзь,Лодзь,
node/31693576,Łomianki,Ломянки,Ломянкі,
node/31574828,Łomża,Ломжа,Ломжа,
node/1854937262,Łosice,Лосице,Лосіце,
node/31707960,Łowicz,Лович,Ловіч,
node/31891166,Lubaczów,Любачув,Любачів,
node/383902758,Lubań,Любань,Любань,
node/363634412,Lubartów,Любартув,Любартув,
node/31587002,Lubawa,Любава,Любава,
node/370165396,Lubawka,Любавка,Любавка,
node/31707928,Lubień Kujawski,Любень-Куявский,Любень Куявський,
node/253531511,Lubin,Любин,Любін,
node/30014556,Lublin,Люблин,Люблін,
node/128055233,Lubliniec,Люблинец,Люблінець,
node/692603635,Lubniewice,Любневице,Любневіце,
node/31796147,Lubomierz,Любомеж,Любомеж,
node/354512367,Luboń,Любонь,Любонь,
node/31586887,Lubowidz,Любовидз,Любовідз,
node/600356053,Lubraniec,Любранец,Любранец,
node/31796132,Lubsko,Любско,Любсько,
node/2006432543,Lubycza Królewska,Любича Крулевска,Любича Крулевска,
node/1854937266,Łuków,Лукув,Лукув,
node/31880272,Lutomiersk,Лютомерск,Лютомерск,
node/31796064,Lututów,Лутутув,Лутутув,
node/31618825,Lwówek,Львувек,Львувек,
node/2668487945,Lwówek Śląski,Львувек-Слёнски,Львувек  Шльонський,
node/35132647,Maków Mazowiecki,Макув-Мазовецки,Макув-Мазовецький,
node/266013007,Maków Podhalański,Макув-Подхаляньский,Маків-Підхалянський,
node/127571050,Malbork,Мальборк,Мальборк,
node/31890647,Małogoszcz,Малогощ,Малоґощ,
node/1758659860,Małomice,Маломице,Маломіце,
node/276970908,Margonin,Маргонин,Маргонін,
node/348945802,Marki,Марки,Маркі,
node/293355196,Maszewo,Машево,Машево,
node/598921475,Miasteczko Śląskie,Мястечко-Слёнске,Мястечко-Шльонське,
node/31346480,Miastko,Мястко,Мястко,
node/31574622,Michałowo,Михалово,Міхалово,
node/31890453,Miechów,Мехув,Мехув,
node/1854936970,Międzybórz,Мендзыбуж,Мендзибуж,
node/281713324,Międzychód,Мендзыхуд,Мендзихуд,
node/299272939,Międzylesie,Мендзылесье,Мендзилесє,
node/359441565,Międzyrzec Podlaski,Мендзыжец-Подляский,Мендзижеч Підляський,
node/31618019,Międzyrzecz,Мендзыжеч,Мендзижеч,
node/255408531,Międzyzdroje,Мендзыздрое,Мендзиздроє,
node/31795622,Miejska Górka,Мейска-Гурка,Мейска Ґурка,
node/31890133,Mielec,Мелец,Мелець,
node/31346475,Mielno,Мельно,Мельно,
node/346144826,Mieroszów,Мерошув,Мерошув,
node/393808189,Mieszkowice,Мешковице,Мешковице,
node/31522735,Mikołajki,Миколайки,Міколайкі,
node/322709211,Mikołów,Миколув,Миколув,
node/31795547,Mikstat,Микстат,Мікстат,
node/31522716,Miłakowo,Милаково,Мілаково,
node/31692544,Milanówek,Милянувек,Мілянувек,
node/31795532,Milicz,Милич,Міліч,
node/31531489,Miłomłyn,Миломлын,Міломлин,
node/31617723,Miłosław,Милослав,Мілослав,
node/31692413,Mińsk Mazowiecki,Миньск-Мазовецки,Міньск Мазовецький,
node/31586189,Mirosławiec,Мирославец,Мірославец,
node/2716747276,Mirsk,Мирск,Мірськ,
node/31574380,Mława,Млава,Млава,
node/31531280,Młynary,Млынары,Млинари,
node/1859414380,Modliborzyce,Модлибожице,Модлібожице,
node/368033575,Mogielnica,Могельница,Могельниця,
node/230100325,Mogilno,Могильно,Моґільно,
node/31574303,Mońki,Моньки,Моньки,
node/692610384,Morąg,Моронг,Моронг,
node/31889932,Morawica,Моравица,Моравіца,
node/1855026520,Mordy,Морды,Морди,
node/1968326353,Moryń,Моринь,Моринь,
node/1901727112,Mosina,Мосина,Мосіна,
node/31522478,Mrągowo,Мронгово,Мронгово,
node/31585959,Mrocza,Мроча,Мроча,
node/31691979,Mrozy,Мрозы,Мрози,
node/507014566,Mszana Dolna,Мшана-Дольна,Мшана-Дольна,
node/31870955,Mszczonów,Мщонув,Мщонув,
node/316751049,Murowana Goślina,Мурована-Гослина,Мурована Госліна,
node/298014658,Muszyna,Мушина,Мушина,
node/262936633,Myślenice,Мысленице,Мисьленіце,
node/1758660001,Myślibórz,Мыслибуж,Мишлібуж,
node/1282380456,Mysłowice,Мысловице,Мисловіце,
node/31901067,Myszków,Мышкув,Мишкув,
node/31574277,Myszyniec,Мышинец,Мишинець,
node/31585837,Nakło nad Notecią,Накло-над-Нотецью,Накло над Нотецею,
node/31870825,Nałęczów,Наленчув,Наленчув,
node/31794910,Namysłów,Намыслув,Намуслув,
node/371818461,Narol,Нароль,Нароль,
node/31603215,Nasielsk,Насельск,Насельськ,
node/598172733,Nekla,Некля,Некля,
node/31574190,Nidzica,Нидзица,,
node/416567038,Niemcza,Немча,Немча,
node/288927742,Niemodlin,Немодлин,Немодлін,
node/31889794,Niepołomice,Неполомице,Неполоміце,
node/1778452735,Nieszawa,Нешава,Нешава,
node/371977886,Nisko,Ниско,Нисько,
node/31889710,Nowa Dęba,Нова-Демба,Нова Демба,
node/274797934,Nowa Ruda,Нова-Руда,Нова Руда,
node/31889688,Nowa Sarzyna,Нова-Сажина,Нова Сажина,
node/31889683,Nowa Słupia,Нова Слупя,Нова Слуп'я,
node/1758659862,Nowa Sól,Нова-Суль,Нова Суль,
node/598184809,Nowe,Нове,Нове,
node/31889649,Nowe Brzesko,Нове-Бжеско,Нове Бжеско,
node/1758659863,Nowe Miasteczko,Нове-Мястечко,Нове М'ястечко,
node/52830261,Nowe Miasto,Нове Място,Нове М'ясто,
node/31585481,Nowe Miasto Lubawskie,Нове-Място-Любавске,Нове М'ясто Любавське,
node/31870239,Nowe Miasto nad Pilicą,Нове-Място-над-Пилицей,Нове М'ясто над Пилицею,
node/31794192,Nowe Skalmierzyce,Нове-Скальмежице,Нове Скальмежице,
node/257422245,Nowe Warpno,Нове-Варпно,Нове Варпно,
node/1758659861,Nowogard,Новогард,Новоґард,
