id,name,name:uk,website,uwagi
way/351946962,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Świdniku,Незалежний Центр Громадського Здоров'я в Свіднику,,
way/351946964,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Świdniku,Незалежний Центр Громадського Здоров'я в Свіднику,,
way/481586886,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Świdniku,Незалежний Центр Громадського Здоров'я в Свіднику,,
relation/5985809,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Самостійний Публічний Комплекс Оздоровчого Догляду,,
way/237876788,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Самостійний Публічний Комплекс Оздоровчого Догляду,https://www.szpital-tomaszow.pl/,
way/960081476,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Самостійний Публічний Комплекс Оздоровчого Догляду,http://www.spzozkrasnystaw.pl/,
way/159429755,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Leżajsku,Самостійний Публічний Комплекс Оздоровчого Догляду в Лежайску,http://www.spzoz-lezajsk.pl/,
way/32089015,Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie,Самостійний Публічний Комплекс Оздоровчого Догляду в Влодаві,http://www.spzoz.wlodawa.pl/,
way/283781015,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej,Самостійний Публічний Комплекс Підприємств Оздоровчого Догляду,http://www.szpitaljanowlubelski.pl/,
way/886035558,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej ""Sanatorium"" im. Jana Pawła II","Самостійний Публічний Комплекс Підприємств Оздоровчого Догляду ""Санаторію"" ім. Яна Павла II",http://gorno.eu,
way/435268269,Sanatorium Eskulap,Санаторій Ескулап,http://uzdrowisko-rymanow.com.pl/uzdrowisko/obiekty/szpital-uzdrowiskowy-eskulap/#*,
way/237144996,Sanatorium Polonia,Санаторій Полонія,,
way/237147413,Sanatorium Uzdrowiskowe Zimowit,Санаторій Здравниці Zimowit,http://uzdrowisko-rymanow.com.pl/uzdrowisko/obiekty/szpital-uzdrowiskowy-zimowit/,
node/3640866997,SOR,Відділення невідкладної допомоги (ВНД),,
way/237733571,SOR,Відділення невідкладної допомоги (ВНД),,
node/362743966,SPZOZ,Самостійне публічне підприємство оздоровчого догляду (СППОД),,
way/462845548,SPZOZ Szpital Specjalistyczny,Самостійне публічне підприємство оздоровчого догляду  (СППОД) Спеціалізована Лікарня,http://szpitalpulawy.pl/,
node/3119657187,Stacja Dializ,Станція Діаліз,,
node/3113276728,Stacja Pogotowia Ratunkowego,Станція Невідкладної Допомоги,,
way/363039991,Stacja Ratownictwa Medycznego,Станція швидкої медичної допомоги,,
node/2087221090,Szpital,Лікаря,,
way/133492583,Szpital,Лікаря,,
way/159429757,Szpital,Лікаря,,
way/507668153,Szpital Asklepios,Лікаря Асклепиос,,
way/228253901,Szpital im. Jana Bożego, Лікарня ім. Яна Божего,,
way/320302279,Szpital Miejski im. Jana Pawła II,Міська Лікарня ім. Яна Павла ІІ,,
way/251057106,Szpital MSWiA,Лікарня Міністерства внутрішніх справ та управління ,,
way/722452812,Szpital MSWiA,Лікарня Міністерства внутрішніх справ та управління ,,
way/992635165,Szpital Neuropsychiatryczny im. prof. Mieczysława Kaczyńskiego,Нейропсихіатрична лікарня ім. професора M. Качиньського,,
way/313818874,Szpital Powiatowy,Районна Лікарня,,
way/426707688,Szpital Powiatowy,Районна Лікарня,,
way/926790898,Szpital Powiatowy,Районна Лікарня,,
way/168519064,Szpital Powiatowy im. Polskiego Czerwonego Krzyża,Районна Лікарня ім. Польського Червоного Хреста,,
way/361392993,Szpital Powiatowy w Kolbuszowej, Районна Лікарня в Кобушові,,
way/337613094,Szpital Powiatowy w Kraśniku,Районна Лікарня в Кращніку,,
way/519092763,Szpital Powiatowy w Międzyrzecu Podlaskim,Районна Лікарня в Мензижечу Поласким,spzozmc.pl,
way/1016942185,Szpital Powiatowy w Opolu Lubelskim,Районна Лікарня в Ополю Любелським,,
way/421100452,Szpital Powiatowy w Ropczycach,Районна Лікарня в Ропчицах,https://www.zozropczyce.pl/,
way/322766018,Szpital Powiatowy w Rykach,Районна Лікарня в Риках,,
node/1719560638,Szpital Powiatowy w Sędziszowie Małopolskim,Районна Лікарня в Сендзішове Маопольским,,
way/168427594,Szpital Powiatowy w Strzyżowie,Районна Лікарня в Стжижові,,
way/186254160,Szpital Psychiatryczny,Психіатрична Лікарня,,
node/1420909835,Szpital publiczny,Державна Лікарня,,
way/230335491,Szpital Rejonowy,Регіональна Лікарня,,
way/312389311,Szpital Specjalistyczny im. Edmunda Biernackiego,Спеціалізована Лікарня ім. Едмунда Бернацкего,https://szpital.mielec.pl,
way/251758779,Szpital Specjalistyczny im. Świętej Rodziny,Спеціалізована Лікарня ім. Швтей Роджіни,,
way/44306056,Szpital Specjalistyczny Podkarpacki Ośrodek Onkologiczny,Спеціальна лікарня Підкарпатського онкологічного центру,,
way/1019190595,Szpital Specjalistyczny Pro-Familia,Спеціальна Лікарня Про-Фамілія,,
way/974996495,Szpital Specjalistyczny w Jaśle Oddział Psychiatryczny,Спеціальна Лікарня  Ясле Психіатричне Відділення,,
way/398339346,Szpital Stary,Стара Лікарня,,
way/551461393,Szpital św. Tadeusza,Лікарня св. Тадеуша,https://spzoz.lukow.pl/,
node/9144687928,Szpital Tymczasowy SPSK1 w Lublinie,Тимчасова Лікарня в Любліні,,
node/2363254827,Szpital Wojewódzki im. Jana Bożego,Обласна Лікарня ім. Яна Божего,,
way/203731445,Szpital Wojewódzki Nr 2,Обласна Лікарня ,http://www.szpital2.rzeszow.pl/,
node/2460714350,Szpitalny Oddział Ratunkowy,Відділення лікарської невідкладної допомоги,,
node/2359319935,Uniwersytecki Szpital Dziecięcy,Університетська дитяча лікарня,,
way/288097041,Uniwersytecki Szpital Dziecięcy,Університетська дитяча лікарня,,
way/311368771,Wojewódzki Podkarpacki Szpital Psychiatryczny im. prof. Eugeniusza Brzezickiego,Обласна Підкарпатська Психіатрична Лікарня ім. професора Євгена Бжежіцкєго,,
node/4343908285,Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Suchowoli,Обласна Лікарня для Нервово і Душевнохворих в Суховолові,,
way/44096284,Wojewódzki Szpital im. Św. Ojca Pio w Przemyślu,Обласна Лікарня ім. Св. Отця Піо в Пшемишлю,,
way/453439984,Wojewódzki Szpital im. Zofii z Zamoyskich Tarnowskiej w Tarnobrzegu,Обласна Лікарня ім. Зофії Зофія Тарновська-Замойська у Тарнобжезі,http://www.szpitaltbg.pl/,
way/712701115,Wojewódzki Szpital Podkarpacki,Підкарпатська Обласна Лікарня,,
way/329758518,Wojewódzki Szpital Specjalistyczny,Обласна Спеціалізована Лікарня,http://www.szpitalbp.pl,
way/301007907,Wojewódzki Szpital Specjalistyczny im. Fryderyka Chopina,Обласна Спеціалізована Лікарня ім. Фредерика Шопена,,
way/292624060,Wojewódzki Szpital Specjalistyczny im. Stefana Wyszyńskiego,Обласна Спеціалізована Лікарня ім. Стефана Вишинськего,http://www.szpital.lublin.pl/,
way/308773005,Żagiel Med Szpital,Жагель Мед Лікарня,https://zagielmed.pl/,
way/289717479,Zakład Opieki Długoterminowej i Paliacji,Заклад Довготривалого Догляду,,
relation/7785021,Zamojski Szpital Niepubliczny,Замостська приватна лікарня,http://www.szpital.com.pl,
node/2410102177,Zespół Klinik,Спілка Клінік,,
way/262542232,Zespół Opieki Zdrowotnej Szpital Psychiatryczny,Спілка охорони здоров'я Психіатрична лікарня,,
