id,place,name,name:uk,name:ru,uwagi
node/692614535,village,Chałupki Chotynieckie,Халупкі Хотинецьке,,
node/692614570,village,Charytany,Харитани,,
node/371979374,village,Chlewiska,Хлевіска,,
node/31898365,village,Chłopiatyn,Хлопятин,,
node/692614511,village,Chłopice,Хлопіце,,
node/692614337,village,Chmiel,Хмель,,
node/2934082786,village,Chochłów,Хохлув,,
node/31898260,village,Chodanie,Ходанє,,
node/31898252,village,Chodywańce,Ходиваньце,,
node/1859515130,village,Chojeniec,Хоєнець,,
node/2085478644,village,Chojeniec-Kolonia,Хоєнець-Колонія,,
node/368746437,village,Chojno Nowe Drugie,Хойно Нове Друге,,
node/2085502309,village,Chojno Nowe Pierwsze,Хойно Нове Перше,,
node/692614824,village,Chołowice,Холовіце,,
node/1859389556,village,Chorążanka,Хоронжанка,,
node/692614415,village,Chorzów,Хожув,,
node/31898137,village,Chotylub,Хотилуб,,
node/692614557,village,Chotyniec,Хотинець,,
node/39395437,village,Chrewt,Хревт,,
node/368746810,village,Chromówka,Хромувка,,
node/1859515134,village,Chutcze,Хутче,,
node/1859515139,village,Chylin,Хилін,,
node/2087021473,village,Chylin Mały,Хилін Малий,,
node/2087021474,village,Chylin Wielki,Хилін Велькі,,
node/692615035,village,Chyrzyna,Хижина,,
node/371951408,village,Chyże,Хиже,,
node/31897958,village,Chyżowice,Хижовіце,,
node/31897950,village,Cichobórz,Чіхобуж,,
node/1859320632,village,Ciemięrzowice,Чемєнжовіце,,
node/692614498,village,Cieszacin Mały,Чєшачін Мали,,
node/692614496,village,Cieszacin Wielki,Чєшачін Велькі,,
node/2319562089,village,Ciołki,Чьолкі,,
node/371978774,village,Ciotusza Nowa,Чьотуша Нова,,
node/371977599,village,Ciotusza Stara,Чьотуша Стара,,
node/692614131,village,Cisowa,Чісова,,
node/692614280,village,Czarna Dolna,Чарна Дольна,,
node/1420511719,village,Czarna Górna,Чарна Ґурна,,
node/31897461,village,Czarnołozy,Чарнолози,,
node/1859389571,village,Czartowczyk,Чартовчик,,
node/31897432,village,Czartowiec,Чартовець,,
node/3009695797,village,Czartowiec-Kolonia,Чартовець-Колонія,,
node/692614505,village,Cząstkowice,Чонстковіце,,
node/1859515174,village,Czechów Kąt,Чехув-Конт,,
node/692614587,village,Czelatyce,Челатице,,
node/31897006,village,Czermno,Чермно,,
node/31896988,village,Czerniawka,Чернявка,,
node/1859389575,village,Czerniczyn,Чернічин,,
node/371948509,village,Czerniejów,Чернєюв,,
node/371978513,village,Czortowice,Чортовіце,,
node/692615111,village,Czudowice,Чудовіце,,
node/368746547,village,Czułczyce,Чулчице,,
node/368746289,village,Czułczyce Małe,Чулчице Мале,,
node/1711480574,village,Czułczyce-Kolonia,Чулчице-Колонія,,
node/1859389581,village,Czumów,Чумув,,
node/692614433,village,Dąbków,Домбкув,,
node/692614639,village,Dąbrowa,Домброва,,
node/3009700733,village,Dąbrowa,Домброва,,
node/3925520657,village,Dąbrowa,Домброва,,
node/1859389583,village,Dąbrowa Tarnawacka,Домброва Тарнавацка,,
node/1859389584,village,Dąbrowa Tomaszowska,Домброва Томашовська,,
node/31896388,village,Dachnów,Дахнув,,
node/692614129,village,Darowice,Даровіце,,
node/692614262,village,Daszówka,Дашувка,,
node/705020702,village,Dębina,Дембіна,,
node/2099854484,village,Dębina,Дембіна,,
node/3000368785,village,Dębina,Дембіна,,
node/1837516713,village,Dębiny,Дембіни,,
node/1837516714,village,Dęby,Демби,,
node/1859446972,village,Depułtycze Królewskie,Депультиче-Крулевське,,
node/31875186,village,Depułtycze Królewskie-Kolonia,Депультиче-Крулевське-Колонія,,
node/371978719,village,Dłużniów,Длужнюв,,
node/1859320633,village,Dobkowice,Добковіце,,
node/31895933,village,Dobromierzyce,Добромежице,,
node/1859515185,village,Dobromyśl,Добромисль,,
node/368746770,village,Dobryłów,Добролув,,
node/31877248,village,Dobryłówka,Добрилувка,,
node/3009697653,village,Dobrzanka,Добжанка,,
node/31895912,village,Dobużek,Добужек,,
node/2934082787,village,Dobużek-Kolonia,Добужек-Колонія,,
node/371949683,village,Dołhobyczów,Долгобичув,,
node/371949153,village,Dorohusk,Дорогуськ,Дорогуск,
node/31874804,village,Dorohusk-Osada,Дорогуськ-Осада,,
node/31895739,village,Drogojówka,Дроґоювка,,
node/31895737,village,Drohiczany,Дрогічани,,
node/692614723,village,Drohobyczka,Дрогобичка,,
node/560410051,village,Drohojów,Дрогоюв,,
node/1859446983,village,Dryszczów,Дрищув,,
node/371948660,village,Dubienka,Дубєнка,,
node/511039259,village,Duńkowice,Дуньковіце,,
node/560409896,village,Duńkowiczki,Дуньковічкі,,
node/31895440,village,Dutrów,Дутрув,,
node/692614340,village,Dwernik,Дверник,,
node/1933107965,village,Dybawka,Дибавка,,
node/31895325,village,Dyniska,Диніска,,
node/705034657,village,Dyniska Nowe,Диніска-Нове,,
node/31895296,village,Dziekanów,Дзєканув,,
node/31895266,village,Dzierążnia,Джєронжня,,
node/3009699700,village,Dziewięcierz,Джєвєчєж,,
node/692614217,village,Dźwiniacz Dolny,Джвіняч Дольни,,
node/2118960772,village,Elżbiecin,Ельжбєчін,,
node/2935874275,village,Falków,Фалькув,,
node/3000368786,village,Feliksów,Феліксув,,
node/692614484,village,Folwarki,Фольваркі,,
node/31895146,village,Franusin,Франусін,,
node/692614132,village,Fredropol,Фредрополь,,
node/31895121,village,Futory,Футори,,
node/841154630,village,Gałęzów,Ґалензув,,
node/31877018,village,Gdola,Ґдоля,,
node/31895012,village,Gliniska,Ґлініска,,
node/2085508619,village,Gliny,Ґліни,,
node/1859515231,village,Gołąb,Ґоломб,,
node/1859389585,village,Gołębie,Ґолембє,,
node/31894964,village,Gorajec,Ґораєц,,
node/31893107,village,Górka-Zabłocie,Ґурка-Заблоте,,
node/1859389602,village,Górno,Ґурно,,
node/368746869,village,Gotówka,Ґотувка,,
node/793773893,village,Gozdów,Ґоздув,,
node/372254748,village,Grabowica,Ґрабовіца,,
node/1859320639,village,Grabowiec,Ґрабовець,,
node/793837796,village,Grobelki,Ґробельки,,
node/1933107991,village,Grochowce,Ґроховіце,,
node/1859389594,village,Gródek,Ґрудек,,
node/1859389597,village,Gródek,Ґрудек,,
node/1859389599,village,Gródek-Kolonia,Ґрудек-Колонія,,
node/1859389587,village,Grodysławice,Ґродиславіце,,
node/692614783,village,Gruszowa,Ґрушова,,
node/1859447006,village,Haliczany,Галічани,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/692615116,village,Hawłowice,Гавловіце,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/2087021475,village,Helenów,Геленув,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/31876491,village,Henrysin,Генрисін,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/560178717,village,Hermanowice,Германовіце,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/560409932,village,Hnatkowice,Гнатковіце,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1859515261,village,Hniszów,Гнішув,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/692626457,village,Holendry,Голендри,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/31894624,village,Honiatycze,Гонятиче,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/2934082788,village,Honiatycze-Kolonia,Гонятиче-Колонія,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/31894620,village,Honiatyczki,Гонятичкі,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1256137202,village,Honiatyn,Гонятин,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1859389605,village,Hopkie,Гопке,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/31894606,village,Horajskie,Горайське,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/692626460,village,Horeszkowice,Горешковіце,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1859414330,village,Horodło,Гогодло,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1859414329,village,Horodysko,Городиско,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/368746280,village,Horodyszcze,Городище,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/1256165430,village,Horodyszcze,Городище,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/31875064,village,Horodyszcze-Kolonia,Городище-Колонія,,W tłumaczeniu UK pierwsza litera powinna być Г zamiast Х
node/704919752,village,Horoszczyce,Горощице,,
node/31894599,village,Horyniec-Zdrój,Горинець-Здруй,,
node/1833485818,village,Hostynne,Гостинне,,
node/1833485827,village,Hostynne-Kolonia,Гостинне-Колонія,,
node/692614059,village,Hoszów,Гошув,,
node/2483962489,village,Hoszowczyk,Гошовчик,,
node/31894574,village,Hrebenne,Гребенне,,
node/1859414331,village,Hrebenne,Гребенне,,
node/31876471,village,Hredków,Гредкув,,
node/1859515287,village,Hruszów,Грушув,,
node/692614845,village,Hruszowice,Грушовіце,,
node/31894566,village,Hubinek,Губінек,,
node/692614728,village,Hucisko Nienadowskie,Гуціско Ненадовске,,
node/1256165434,village,Hulcze,Гульче,,
node/31894475,village,Hurcze,Гурче,,
node/560408908,village,Hureczko,Гуречко,,
node/1859320642,village,Hurko,Гурко,,
node/371949792,village,Husynne,Гусинне,,
node/1859447008,village,Husynne,Гусинне,,
node/841155577,village,Huta,Гута,,
node/692615056,village,Huta Brzuska,Гута Бжуска,,
node/705834803,village,Huta Dzierążyńska,Гута Дзеронжиньська,,
node/31894419,village,Huta Kryształowa,Гута Кришталова,,
node/31894414,village,Huta Lubycka,Гута Любицка,,
node/371978332,village,Huta Różaniecka,Гута Ружанецка,,
node/1859320643,village,Huta Szumy,Гута Шуми,,
node/31894696,village,Huta Tarnawacka,Гута Тарнавацка,,
node/661297399,village,Huta-Złomy,Гути Зломи,,
node/692614788,village,Huwniki,Гувнікі,,
node/1859515296,village,Ignatów,Іґнатув,,
node/31875063,village,Ignatów-Kolonia,Іґнатув Колонія,,
node/368746668,village,Iłowa,Iлова,,
node/692614734,village,Iskań,Іскань,,
node/2688315408,village,Jagodne,Ягодне,,
node/560410369,village,Jaksmanice,Яксманіце,,
node/692614234,village,Jałowe,Ялове,,
node/3009709462,village,Jamna Dolna,Ямна Дольна,,
node/3009709463,village,Jamna Górna,Ямна Ґурна,,
node/371978506,village,Janki,Янкі,,
node/2202019805,village,Janki,Янкі,,
node/1832067187,village,Jankowice,Янковіце,,
node/3575451269,village,Jankowice,Янковіце,,
node/31876274,village,Janostrów,Янострув,,
node/2083668156,village,Janów,Янув,,
node/31876269,village,Janowica,Яновіца,,
node/1859414336,village,Janówka,Янувка,,
node/371948598,village,Jarczów,Ярчув,,
node/1859389617,village,Jarczów-Kolonia Druga,Ярчув-Колонія Друґа,,
node/1859389618,village,Jarczów-Kolonia Pierwsza,Ярчув-Колонія Первша,,
node/371978656,village,Jarosławiec,Ярославець,,
node/2090972054,village,Jasienica,Ясеніца,,
node/692614698,village,Jasienica Sufczyńska,Ясеніца Суйчиньска,,
node/506176433,village,Jawornik Ruski,Яворнік Рускі,,
node/692609142,village,Jazików,Язікув,,
node/31893999,village,Jędrzejówka,Єнджеювка,,
node/1837516717,village,Jeziernia,Єзерня,,
node/523349279,village,Jodłówka,Йодлувка,,
node/31893983,village,Józefin,Юзефін,,
node/2096673214,village,Józefin,Юзефін,,
node/3009710845,village,Józefin,Юзефін,,
node/31875037,village,Józefin koło Nowosiółek,Юзефін коло Новосюлек,,
node/2090972055,village,Józefów,Юзефув,,
node/31801255,village,Józefówka,Юзефувка,,
node/31875931,village,Julianów,Юліанув,,
node/645138479,village,Jureczkowa,Юречкова,,
node/1859389619,village,Jurów,Юрув,,
node/1859389620,village,Justynówka,Юстинувка,,
node/1837516718,village,Kadłubiska,Кадлубіска,,
node/1859389626,village,Kadłubiska,Кадлубіска,,
node/371948382,village,Kajetanówka,Каєтанувка,,
node/560412657,village,Kalników,Калнікув,,
node/692614793,village,Kalwaria Pacławska,Кальварія,,
node/1859447020,village,Kamień,Камінь,,
node/31875033,village,Kamień-Kolonia,Камінь Колнія,,
node/1859515341,village,Kamienna Góra,Камінна Ґура,,
node/2085597697,village,Kamionka,Камйонка,,
node/1859515347,village,Kanie,Кане,,
node/2688315410,village,Kanie-Stacja,Кане-Стац'я,,
node/31875763,village,Karczunek,Карчунек,,
node/1859515357,village,Karolinów,Каролінув,,
node/31888529,village,Karolówka,Каролувка,,
node/31875680,village,Kasiłan,Касілан,,
node/560409674,village,Kaszyce,Кашице,,
node/31892858,village,Kazimierówka,Казімерувка,,
node/371948423,village,Kazimierówka,Казімерувка,,
node/2089293974,village,Kępa,Кенпа,,
node/2092815924,village,Kicin,Кіцин,,
node/692614461,village,Kidałowice,Кідаловіце,,
node/31893456,village,Klątwy,Кльонтви,,
node/2688315412,village,Klekacz,Клекач,,
node/31875480,village,Klesztów,Клешув,,
node/371787872,village,Klocówka,Кльоцувка,,
node/692614798,village,Kłokowice,Клоковіце,,
node/31893344,village,Kmiczyn,Кмічин,,
node/1837516719,village,Kniazie,Князе,,
node/692614128,village,Kniażyce,Княжице,,
node/31893339,village,Kobło,Кобло,,
node/2319560770,village,Kobło-Kolonia,Кобло-Колонія,,
node/371951733,village,Kobyle,Кобиле,,
node/31893337,village,Kobylnica Ruska,Кобилниця Руська,,
node/692614660,village,Kobylnica Wołoska,Кобилниця Волоска,,
node/1859389632,village,Kociuba,Коцюба,,
node/31875385,village,Koczów,Кочув,,
node/31875348,village,Kolemczyce,Колемчице,,
node/31875256,village,Kolonia Chromówka,Колонія Хромувка,,
node/2995322645,village,Kolonia Partyzantów,Колонія Партизантув,,
node/31892829,village,Koniaczów,Конячув,,
node/3009716225,village,Koniusza,Конюша,,
node/692614802,village,Koniuszki,Конюшкі,,
node/31892821,village,Konopne,Конопне,,
node/31892802,village,Kopyłów,Копилув,,
node/3009716503,village,Kopysno,Кописно,,
node/1859389647,village,Korczmin,Корчмін,,
node/692614436,village,Korczowa,Корчова,,
node/2934057687,village,Korczunek,Корчунек,,
node/371951738,village,Korhynie,Коргине,,
node/692615066,village,Kormanice,Корманіце,,
node/31892735,village,Kornie,Корне,,
node/692614022,village,Korytniki,Коритнікі,,
node/31892730,village,Korytyna,Коритина,,
node/31892728,village,Korzenica,Коженіса,,
node/692614028,village,Korzeniec,Коженец,,
node/1256165432,village,Kościaszyn,Косьцяшин,,
node/560409541,village,Kosienice,Косеніце,,
node/1859389648,village,Kosmów,Космув,,
node/692614526,village,Kostków,Косткув,,
node/692614739,village,Kosztowa,Коштова,,
node/1859389650,village,Kotorów,Которув,,
node/692614703,village,Kotów,Котув,,
node/31891705,village,Kowalówka,Ковалювка,,
node/31874687,village,Koza Gotówka,Коза Ґотувка,,
node/1859515407,village,Kozia Góra,Козя Ґура,,
node/31892550,village,Kozia Wola,Козя Воля,,
node/653150878,village,Koziejówka,Козеювка,,
node/31892482,village,Kozodawy,Козодави,,
node/692614584,village,Kramarzówka,Карамажувка,,
node/692614827,village,Krasice,Красіце,,
node/692614023,village,Krasiczyn,Красіцин,,
node/31888861,village,Krasne,Красне,,
node/371978163,village,Krasne,Красне,,
node/1859515412,village,Krobonosz,Кробонош,,
node/31875012,village,Krobonosz-Kolonia,Кробонош-Колонія,,
node/371951718,village,Kroczyn,Крочин,,
node/692614007,village,Krościenko,Коростенко,Коростенко,
node/31874625,village,Krowica,Кровіца,,
node/31892195,village,Krowica Hołodowska,Кровіца Холодовська,,
node/692614645,village,Krowica Lasowa,Кровіца Лясова,,
node/31889045,village,Krowica Sama,Кровіца Сама,,
node/1933108055,village,Krówniki,Крувнікі,,
node/1859389652,village,Kryłów,Крилув,,
node/2090972056,village,Krynica,Криніца,,
node/1859389651,village,Krynice,Криніце,,
node/31892098,village,Kryszyn,Кришин,,
node/3009718448,village,Krywe,Криве,,
node/692615051,village,Krzeczkowa,Кшечкова,,
node/31892011,village,Krzewica,Кшевіца,,
node/692614831,village,Krzywcza,Кшивча,,
node/1859320648,village,Krzywe,Кшиве,,
node/1859447033,village,Krzywice,Кшивіце,,
node/31875008,village,Krzywice-Kolonia,Кшивіце-Колонія,,
node/31874587,village,Krzywiczki,Кшивічкі,,
node/31874585,village,Krzywowola,Книвоволя,,
node/2083829273,village,Ksawerów,Ксаверув,,
node/371978707,village,Kukawka,Кукавка,,
node/793837940,village,Kułakowice Drugie,Кулаковіце Друге,,
node/793837468,village,Kułakowice Pierwsze,Кулаковіце Перші,,
node/31891746,village,Kułakowice Trzecie,Кулаковіце Треті,,
node/1859515423,village,Kulik,Кулік,,
node/2085646327,village,Kulik-Kolonia,Кулік-Колонія,,
node/31874506,village,Kumów Majoracki,Кумув Майорацкі,,
node/31874505,village,Kumów Plebański,Кумув Плебанські,,
node/372254750,village,Kunki,Кункі,,
node/1933108059,village,Kuńkowce,Куньковце,,
node/2935874276,village,Kunówka,Кунувка,,
node/692614130,village,Kupiatycze,Куп'ятиче,,
node/692615041,village,Kupna,Купна,,
node/31891712,village,Kurmanów,Курманув,,
node/692614030,village,Kuźmina,Кузміна,,
node/692614167,village,Kwaszenina,Квашеніна,,
node/31891682,village,Łachowce,Лаховце,,
node/31874432,village,Ladeniska,Ладеніска,,
node/31891634,village,Łasków,Ласкув,,
node/1859389855,village,Łasochy,Ласохи,,
node/31891615,village,Łaszczówka,Лащувка,,
node/1859389858,village,Łaszczówka-Kolonia,Лащувка-Колонія,,
node/2934153865,village,Łaszczów-Kolonia,Лащув-Колонія,,
node/31891580,village,Laszki,Лашкі,,
node/1837516742,village,Łazowa,Лазова,,
node/692614449,village,Łazy,Лази,,
node/368746817,village,Lechówka,Лехувка,,
node/31891412,village,Lemieszów,Лемешув,,
node/1859515443,village,Leonów,Леонув,,
node/3009721265,village,Leonówka,Ленувка,,
node/793773850,village,Leopoldów,Леопольдув,,
node/368746899,village,Leśniczówka,Лесьнічувка,,
node/1859414359,village,Leśniowice,Лесьньовіце,,
node/31893061,village,Leśniowice-Kolonia,Лесьньовіце-Колонія,,
node/1859515445,village,Leszczanka,Лещанка,,
node/2097183896,village,Leszczany,Лещани,,
node/2097183897,village,Leszczany-Kolonia,Лещани-Колонія,,
node/692614144,village,Leszczawa Dolna,Лещава Дольна,,
node/692614708,village,Leszczawa Górna,Лещава Ґурна,,
node/692614147,village,Leszczawka,Лещавка,,
node/692614202,village,Leszczowate,Лещовате,,
node/692614151,village,Leszczyny,Лещини,,
node/1859320650,village,Leszno,Лешно,,
node/3878888178,village,Łętownia,Лентовня,,
node/692614529,village,Leżachów-Osada,Лежахув-Осада,,
node/692614133,village,Lipa,Ліпа,,
node/371978031,village,Lipie,Леп'є,,
node/692614319,village,Lipie,Леп'є,,
node/841153695,village,Lipinki,Ліпінкі,,
node/2090972057,village,Lipniki,Ліпінкі,,
node/1859389666,village,Lipowiec,Ліповец,,
node/31873979,village,Lipówki,Ліпувкі,,
node/371979384,village,Lipsko,Ліпско,,
node/31891211,village,Lisie Jamy,Лісе Ями,,
node/2318941625,village,Liski,Ліскі,,
node/2934114078,village,Liski,Ліскі,,
node/692614205,village,Liskowate,Лісковате,,
node/1859515454,village,Liszno,Лішно,,
node/31874976,village,Liszno-Kolonia,Лішно-Колонія,,
node/1256165441,village,Liwcze,Лівче,,
node/692614230,village,Łobozew Dolny,Лобозев Дольний,,
node/692614246,village,Łobozew Górny,Лобозев Ґурний,,
node/692614221,village,Łodyna,Лодина,,
node/692615061,village,Łodzinka Górna,Лодзінка Ґурна,,
node/692614713,village,Łomna,Ломна,,
node/371948917,village,Łosiniec,Лосінєц,,
node/1782976778,village,Łotoszyny,Лотошини,,
node/31891195,village,Łotów,Лотув,,
node/692614392,village,Łowce,Ловце,,
node/360233478,village,Łowcza,Ловча,,
node/31891194,village,Łówcza,Ловча,,
node/2688315629,village,Łowcza-Kolonia,Ловцча-Колонія,,
node/31891157,village,Łubcze,Лубче,,
node/2297332069,village,Lubomierz,Любомеж,,
node/1933108277,village,Łuczyce,Лучице,,
node/368747010,village,Ludwinów,Людвінув,,
node/2078416320,village,Ludwinów,Людвінув,,
node/31891093,village,Łukawica,Лукавіца,,
node/31891084,village,Łukawiec,Лукавец,,
node/368746264,village,Łukówek,Лукувек,,
node/1859389861,village,Łuszczacz,Лущач,,
node/31891029,village,Łuszczów,Лущув,,
node/793774084,village,Łuszczów-Kolonia,Лущув-Колонія,,
node/1741674130,village,Łuszków,Лушкув,,
node/560412802,village,Lutków,Люткув,,
node/692614087,village,Lutowiska,Лютовіска,,
node/31890890,village,Łykoszyn,Ликошин,,
node/2934153866,village,Łysa Góra,Лиса Ґура,,
node/692626412,village,Machnów Nowy,Махнув Новий,,
node/1859389669,village,Machnów Stary,Махнув Старий,,
node/31890877,village,Machnówek,Махнувек,,
node/3009724292,village,Maćkowice,Мацьковіце,,
node/1961262076,village,Magdalenka,Маґдаленка,,
node/793837771,village,Majdan,Майдан,,
node/1859389672,village,Majdan Górny,Майдан Ґурний,,
node/31890844,village,Majdan Krynicki,Майдан Криніцький,,
node/31890834,village,Majdan Kukawiecki,Майдан Кукавецький,,
node/2176838668,village,Majdan Leśniowski,Майдан Лесьньовський,,
node/31890794,village,Majdan Lipowiecki,МАйдан Ліповецький,,
node/1859414370,village,Majdan Ostrowski,Майдан Островський,,
node/31875346,village,Majdan Pławanicki,Майдан Плаваніцький,,
node/31873302,village,Majdan Skordiowski,Майдан Скордьовський,,
node/372254802,village,Majdan Sopocki Drugi,Майдан Сопоцбкий Другий,,
node/372256835,village,Majdan Sopocki Pierwszy,Майдан Сопоцбкий Перший,,
node/31890763,village,Majdan Wielki,Майдан Великий,,
node/1859515480,village,Majdan Zahorodyński,Майдан Загородиньський,,
node/793837429,village,Majdanek,Майданек,,
node/1859389675,village,Majdanek,Майданек,,
node/31890786,village,Majdan-Sielec,Майдан-Селець,,
node/692614805,village,Makowa,Макова,,
node/31890737,village,Makowisko,Маковіско,,
node/692614139,village,Malawa,Малава,,
node/692614577,village,Maleniska,Маленіска,,
node/692614027,village,Malhowice,Малховіце,,
node/1859389678,village,Malice,Маліце,,
node/2176838674,village,Malinówka,Малінувка,,
node/705561824,village,Małków,Малкув,,
node/705561834,village,Małków Nowy,Малкув Новий,,
node/1859320652,village,Małkowice,Малковіце,,
node/31893197,village,Małków-Kolonia,Малкув-Колонія,,
node/31890646,village,Małoniż,Малоніж,,
node/31890637,village,Manasterz,Манастеж,,
node/368747026,village,Marynin,Маринін,,
node/371818374,village,Marynin,Маринін,,
node/31872753,village,Marysin,Марисін,,
node/31890601,village,Marysin,Марисін,,
node/31890602,village,Marysin,Марисін,,
node/31890603,village,Marysin,Марисін,,
node/31890604,village,Marysin,Марисін,,
node/1859515511,village,Marysin,Марисін,,
node/31890597,village,Masłomęcz,Масломенч,,
node/371977705,village,Matcze,Матче,,
node/31872738,village,Mateuszowo,Матеушово,,
node/31890554,village,Maziarnia,Мазярня,,
node/371979272,village,Maziły,Мазіли,,
node/560411644,village,Medyka,Меди́ка,,
node/31890462,village,Metelin,Метелін,,
node/2935965136,village,Michalów,Міхалув,,
node/511039103,village,Michałówka,Міхалувка,,
node/1859447067,village,Michałówka,Міхалувка,,
node/2935965135,village,Michalów-Kolonia,Міхалув-Колонія,,
node/692614322,village,Michniowiec,Міхньовець,,
node/31890139,village,Miedniki,Меднікі,,
node/31890135,village,Miękisz Nowy,М'єнкіш Новий,,
node/31890134,village,Miękisz Stary,М'єнкіш Старий,,
node/692615046,village,Mielnów,Мельнув,,
node/1859389680,village,Mieniany,Меняну,,
node/2932810373,village,Miętkie,М'єнтке,,
node/2932810374,village,Miętkie-Kolonia,М'єнтке-Колонія,,
