id,name,office,name:uk,name:ru,description:uk,description:ru
node/5333388217,Mazowiecki Urząd Wojewódzki,government,Мазовецьке Воєводське Управління,Управление Мазовецкого воеводства,Отримати візу можна тут,Получить визу можно здесь
node/9004861504,Mazowiecki Urząd Wojewódzki,government,Мазовецьке Воєводське Управління,Управление Мазовецкого воеводства,Отримати візу можна тут,Получить визу можно здесь
node/6731381043,Mazowiecki Urząd Wojewódzki Terenowy Punkt Paszportowy,government,"Мазовецьке Воєводське Управління, Місцевий паспортний пункт","Управление Мазовецкого воеводства, Местный паспортный пункт",Отримати візу можна тут,Получить визу можно здесь
node/4080911238,Opolski Urząd Wojewódzki,government,Опольське Воєводське Управління,Управление Опольского воеводства,Отримати візу можна тут,Получить визу можно здесь
relation/2738587,Podkarpacki Urząd Wojewódzki,government,Підкарпатське Воєводське Управління,Управление Подкарпатского воеводства,Отримати візу можна тут,Получить визу можно здесь
way/231375499,Podkarpacki Urząd Wojewódzki Delegatura w Przemyślu,government,Управління Підкарпатського Воєводства - Представництво в Перемишлі,Управление Подкарпатского воеводства - Представительство в Пшемышле,Отримати візу можна тут,Получить визу можно здесь
way/233190059,Podlaski Urząd Wojewódzki,government,Підляське Воєводське Управління,Управление Подляского воеводства,Отримати візу можна тут,Получить визу можно здесь
way/104729518,Pomorski Urząd Wojewódzki,government,Поморське Воєводське Управління,Управление Поморского воеводства,Отримати візу можна тут,Получить визу можно здесь
node/2641510774,Pomorski Urząd Wojewódzki - Oddział Paszportów,government,Поморське Воєводське Управління - Паспортний відділ,Управление Поморского воеводства - Паспортный отдел,Отримати візу можна тут,Получить визу можно здесь
node/1439211239,Śląski Urząd Wojewódzki,government,Сілезьке Воєводське Управління,Управление Силезского воеводства,Отримати візу можна тут,Получить визу можно здесь
way/304761714,Śląski Urząd Wojewódzki w Katowicach oddział w Częstochowie,government,Сілезьке Воєводське Управління в Катовицях - відділ в Ченстохові,Управление Силезского воеводства в Катовицах - отдел в Ченстохове,Отримати візу можна тут,Получить визу можно здесь
node/8852891029,Świętokrzyski Urząd Wojewódzki w Kielcach,government,Свентокшиське Воєводське Управління в Кельцях,Управление Свентокшиского воеводства в Кельцах,Отримати візу можна тут,Получить визу можно здесь
way/167351784,Urząd Wojewódzki,government,Воєводське Управління,Воеводское управление,Отримати візу можна тут,Получить визу можно здесь
node/4389099993,Urząd Wojewódzki - Wydział Spraw Obywatelskich i Cudzoziemców,government,Воєводське Управління - Відділ у Справах Громадян та Іноземців,Воеводское управление - Отдел по делам граждан и иностранцев,Отримати візу можна тут,Получить визу можно здесь
way/467266177,Warmińsko-Mazurski Urząd Wojewódzki w Olsztynie,government,Вармінсько-Мазурське Воєводське Управління в Ольштині,Управление Варминьско-Мазурского воеводства в Ольштыне,Отримати візу можна тут,Получить визу можно здесь
way/427467943,Wielkopolski Urząd Wojewódzki,government,Великопольське Воєводське Управління,Управление Великопольского воеводства,Отримати візу можна тут,Получить визу можно здесь
node/4560917630,Wielkopolski Urząd Wojewódzki - Terenowy Punkt Paszportowy w Ostrowie Wlkp.,government,Великопольське Воєводське Управління - Місцевий паспортний пункт в Острові-Велькопольському,Управление Великопольского воеводства - Местный паспортный пункт в Острове-Велькопольском,Отримати візу можна тут,Получить визу можно здесь
node/4784229978,Wielkopolski Urząd Wojewódzki. Oddział Paszportów,government,Великопольське Воєводське Управління - Паспортний відділ,Управление Великопольского воеводства - Паспортный отдел,Отримати візу можна тут,Получить визу можно здесь
relation/536040,Zachodniopomorski Urząd Wojewódzki w Szczecinie,government,Західнопоморське Воєводське Управління,Управление Западно-Поморского воеводства,Отримати візу можна тут,Получить визу можно здесь
